info,vehicle_id,link,record_date,vehicle_type
长安 奔奔 2017款 纯电动 210公里豪华型2017年|3.6万公里|北京4.70万超值18.60万,63527184@2@5@0&0120000000000057,https://www.guazi.com/bj/33bc83e61802ae02x.htm#fr_page=list&fr_pos=city&fr_no=5,2018-12-04,EV
康迪 2016款 K17A 时尚型2016年|2.5万公里|杭州4.26万急售17.90万急降2400元,60705782@2@6@0&0120000000000057,https://www.guazi.com/hz/d038f0402367ab76x.htm#fr_page=list&fr_pos=city&fr_no=6,2018-12-04,EV
康迪 2015款 K11b2015年|0.3万公里|天津2.70万16.60万,61446210@2@7@0&0120000000000057,https://www.guazi.com/tj/ace10ac8d08318f3x.htm#fr_page=list&fr_pos=city&fr_no=7,2018-12-04,EV
江淮iEV 2014款 iEV42014年|2.4万公里|北京2.50万超值18.40万新上架,63709462@2@8@0&0120000000000057,https://www.guazi.com/bj/36d7ac588dd87444x.htm#fr_page=list&fr_pos=city&fr_no=8,2018-12-04,EV
长安 奔奔 2017款 纯电动 180公里标准型2017年|2.0万公里|北京3.89万超值急售准新车16.80万急降2100元,58524466@2@9@0&0120000000000057,https://www.guazi.com/bj/7d6c4f741a3dffe2x.htm#fr_page=list&fr_pos=city&fr_no=9,2018-12-04,EV
众泰E200 2017款 豪华型2017年|0.6万公里|深圳4.50万准新车19.50万新上架,64015767@2@10@0&0120000000000057,https://www.guazi.com/sz/7687bf952b9f1ab1x.htm#fr_page=list&fr_pos=city&fr_no=10,2018-12-04,EV
北汽新能源 EV系列 2014款 E150EV 科技版2014年|1.8万公里|潍坊4.00万超值25.10万,62322572@2@11@0&0120000000000057,https://www.guazi.com/weifang/58bf896a57106d4bx.htm#fr_page=list&fr_pos=city&fr_no=11,2018-12-04,EV
北汽新能源 EV系列 2014款 E150EV 科技版2014年|6.5万公里|北京3.30万超值25.10万,62434779@2@12@0&0120000000000057,https://www.guazi.com/bj/b74c32c90a09c5a3x.htm#fr_page=list&fr_pos=city&fr_no=12,2018-12-04,EV
江铃集团新能源 江铃E200 2016款 舒适型2016年|1.5万公里|佛山2.50万急售19.80万急降5000元,61032133@2@13@0&0120000000000057,https://www.guazi.com/foshan/efedea506ff7dce5x.htm#fr_page=list&fr_pos=city&fr_no=13,2018-12-04,EV
海马爱尚EV 2017款 EV1602017年|1.3万公里|郑州3.50万急售准新车13.40万急降2000元,62215059@2@14@0&0120000000000057,https://www.guazi.com/zz/7ad7e45087ea48ccx.htm#fr_page=list&fr_pos=city&fr_no=14,2018-12-04,EV
知豆D2 2016款 D2S2016年|3.5万公里|深圳2.50万20.50万,59486552@2@15@0&0120000000000057,https://www.guazi.com/sz/e30c669ad6ce44e3x.htm#fr_page=list&fr_pos=city&fr_no=15,2018-12-04,EV
江淮iEV 2015款 iEV52016年|3.3万公里|北京4.00万19.50万,62801480@2@16@0&0120000000000057,https://www.guazi.com/bj/15b86172ade2616ax.htm#fr_page=list&fr_pos=city&fr_no=16,2018-12-04,EV
江淮iEV 2015款 iEV52015年|3.0万公里|北京3.80万急售19.50万急降2000元,59596721@2@17@0&0120000000000057,https://www.guazi.com/bj/fdb8fc9d18f21207x.htm#fr_page=list&fr_pos=city&fr_no=17,2018-12-04,EV
荣威E50 2015款 标准型2013年|4.6万公里|上海3.60万超值25.50万,17440823@2@18@0&0120000000000057,https://www.guazi.com/sh/00e14e26819c9a46x.htm#fr_page=list&fr_pos=city&fr_no=18,2018-12-04,EV
奇瑞eQ 2015款 豪华型2016年|3.0万公里|济南3.50万急售17.90万急降5000元,59147367@2@19@0&0120000000000057,https://www.guazi.com/jn/4f233ac24a2ae4f0x.htm#fr_page=list&fr_pos=city&fr_no=19,2018-12-04,EV
北汽新能源 EV系列 2015款 EV160 轻快版2015年|4.4万公里|北京3.40万19.20万,62975090@2@20@0&0120000000000057,https://www.guazi.com/bj/4f38affc454cd3b2x.htm#fr_page=list&fr_pos=city&fr_no=20,2018-12-04,EV
华泰新能源 华泰EV160B 2017款 基本型2018年|1.1万公里|北京3.15万超值急售准新车11.20万急降3500元,59189204@2@21@0&0120000000000057,https://www.guazi.com/bj/2705db2efdd4a079x.htm#fr_page=list&fr_pos=city&fr_no=21,2018-12-04,EV
北汽新能源 EV系列 2014款 E150EV 科技版2014年|6.3万公里|北京3.10万超值25.10万,63503117@2@22@0&0120000000000057,https://www.guazi.com/bj/da3d90a6bae62ee1x.htm#fr_page=list&fr_pos=city&fr_no=22,2018-12-04,EV
宝马i3 2015款 时尚型(进口)2016年|1.5万公里|南阳20.80万急售45.20万急降2万,58427345@2@23@0&0120000000000057,https://www.guazi.com/nanyang/095d853ba46ad8d9x.htm#fr_page=list&fr_pos=city&fr_no=23,2018-12-04,EV
